point_id,domain,point_type,cover_class,doy_band,snow_free_doy,x_utm,y_utm
73,CRBU,non_vegetated,bare,early,123.3013916015625,328612.5,4304720.5
74,CRBU,non_vegetated,bare,early,118.0140609741211,331885.5,4300124.5
75,CRBU,non_vegetated,bare,early,117.39356994628906,328660.5,4303532.5
76,CRBU,non_vegetated,bare,early,118.41390228271484,329398.5,4306751.5
77,CRBU,non_vegetated,bare,early,122.57334899902344,337036.5,4307279.5
78,CRBU,non_vegetated,bare,early,123.92544555664062,328543.5,4306391.5
79,CRBU,non_vegetated,bare,early,102.52766418457031,335716.5,4298522.5
80,CRBU,non_vegetated,bare,early,114.38883209228516,332698.5,4303067.5
81,CRBU,non_vegetated,bare,early,118.41390228271484,329395.5,4306754.5
82,CRBU,non_vegetated,bare,early,121.590576171875,331345.5,4300910.5
83,CRBU,non_vegetated,bare,early,125.64453125,329053.5,4303205.5
84,CRBU,non_vegetated,bare,early,120.6376724243164,328540.5,4304837.5
85,CRBU,non_vegetated,bare,early,125.05157470703125,329590.5,4301984.5
86,CRBU,non_vegetated,bare,early,124.30665588378906,329680.5,4302098.5
87,CRBU,non_vegetated,bare,early,106.41002655029297,334873.5,4297940.5
88,CRBU,non_vegetated,bare,early,116.97116088867188,332689.5,4303589.5
89,CRBU,non_vegetated,bare,early,119.53573608398438,331891.5,4300373.5
90,CRBU,non_vegetated,bare,early,114.79893493652344,319564.5,4325129.5
91,CRBU,non_vegetated,bare,early,109.78632354736328,334327.5,4299131.5
92,CRBU,non_vegetated,bare,early,126.76036834716797,332494.5,4303298.5
93,CRBU,non_vegetated,bare,early,121.09851837158203,332764.5,4303451.5
94,CRBU,non_vegetated,bare,early,117.0542984008789,331579.5,4300646.5
95,CRBU,non_vegetated,bare,early,120.83003234863281,319102.5,4325321.5
96,CRBU,non_vegetated,bare,early,112.63103485107422,334108.5,4300787.5
97,CRBU,non_vegetated,bare,early,121.40801239013672,332623.5,4304171.5
98,CRBU,non_vegetated,bare,early,119.44417572021484,330757.5,4305584.5
99,CRBU,non_vegetated,bare,early,128.80239868164062,331765.5,4308509.5
100,CRBU,non_vegetated,bare,early,116.79351806640625,331345.5,4301033.5
101,CRBU,non_vegetated,bare,early,118.26355743408203,328051.5,4303640.5
