a,b,short_a,short_b,n_a,n_b,dist,ratio,same_top1,same_parent,doy_a,doy_b,top1_a,top1_b
S22,S25,Senescent sagebrush park,Low mixed shrub-steppe,17,21,0.19203010693366754,0.6056378710236586,FALSE,FALSE,126.1892157161937,97.45130193801154,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group,Purshia tridentata - Ribes cereum Shrubland Alliance
S08.a,S10.a,Deschampsia forb meadow,Snowberry mesic meadow,30,30,0.1761748420405245,0.608888031609735,FALSE,FALSE,161.00261332194012,133.76779301961264,Salix wolfii / Deschampsia cespitosa Wet Shrubland,Danthonia intermedia - Solidago multiradiata Grassland
S20,S25,Rocky buckwheat barren,Low mixed shrub-steppe,13,21,0.1797235378655842,0.6091034839699156,FALSE,FALSE,133.669188279372,97.45130193801154,Poa nervosa - Achnatherum lettermanii Grassland,Purshia tridentata - Ribes cereum Shrubland Alliance
S05.a,S12,Silver-sage sedge park,Rocky sparse forb slope,24,25,0.18219561895522507,0.6137555470499501,FALSE,FALSE,126.13806215922038,161.35852783203126,Artemisia cana Montane Wet Shrubland Alliance,Geum rossii - Sibbaldia procumbens Alpine Snowbed
S02.a,S07,Montane forb-grass meadow,Alpine snowbed forb turf,47,24,0.24659035507704297,0.6138341254743558,FALSE,FALSE,128.4723697418862,169.97183799743652,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Cardamine cordifolia - Mertensia ciliata - Senecio triangularis Wet Meadow
S08.a,S09.a,Deschampsia forb meadow,Lathyrus mesic meadow,30,19,0.26737852073371543,0.6145102205792511,FALSE,FALSE,161.00261332194012,148.69068266216078,Salix wolfii / Deschampsia cespitosa Wet Shrubland,Carex microptera Wet Meadow
S05.a,S11,Silver-sage sedge park,Wyethia swale meadow,24,30,0.20743144347279138,0.615042809831631,FALSE,FALSE,126.13806215922038,126.35915756225586,Artemisia cana Montane Wet Shrubland Alliance,NA
S19,S20,Dry montane grass park,Rocky buckwheat barren,25,13,0.2162089784190374,0.6158440451047151,FALSE,FALSE,122.09057525634766,133.669188279372,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance,Poa nervosa - Achnatherum lettermanii Grassland
S02.a,S14,Montane forb-grass meadow,Alpine wet graminoid turf,47,14,0.15734008098290725,0.6169088026820158,FALSE,FALSE,128.4723697418862,169.51754324776786,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Calamagrostis stricta Wet Meadow
S01.a,S14,Montane mixed shrub-meadow,Alpine wet graminoid turf,53,14,0.15236995717253798,0.6170706785393426,FALSE,FALSE,122.99547317792783,169.51754324776786,Chrysothamnus viscidiflorus Shrub Grassland,Calamagrostis stricta Wet Meadow
Osmorhiza occidentalis,S02.a,Sweet-cicely stand,Montane forb-grass meadow,8,47,0.22958510623443537,0.6255947300982253,FALSE,FALSE,140.2346534729004,128.4723697418862,NA,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland
S08.a,S12,Deschampsia forb meadow,Rocky sparse forb slope,30,25,0.18487939669006126,0.6299521153292711,FALSE,FALSE,161.00261332194012,161.35852783203126,Salix wolfii / Deschampsia cespitosa Wet Shrubland,Geum rossii - Sibbaldia procumbens Alpine Snowbed
S01.a,S21,Montane mixed shrub-meadow,Brome disturbed meadow,53,14,0.2107356034753432,0.6319320736072027,FALSE,FALSE,122.99547317792783,165.87781742640905,Chrysothamnus viscidiflorus Shrub Grassland,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
S01.a,S23,Montane mixed shrub-meadow,Subalpine forb turf,53,18,0.19551546066298886,0.6326329375633137,FALSE,FALSE,122.99547317792783,144.4867926703559,Chrysothamnus viscidiflorus Shrub Grassland,Salix wolfii / Mesic Forbs Wet Shrubland
S12,S19,Rocky sparse forb slope,Dry montane grass park,25,25,0.20361266034673958,0.6352400293659771,FALSE,FALSE,161.35852783203126,122.09057525634766,Geum rossii - Sibbaldia procumbens Alpine Snowbed,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S09.a,S11,Lathyrus mesic meadow,Wyethia swale meadow,19,30,0.2897047597410189,0.6361342857814561,FALSE,FALSE,148.69068266216078,126.35915756225586,Carex microptera Wet Meadow,NA
S08.a,S19,Deschampsia forb meadow,Dry montane grass park,30,25,0.21826747168424507,0.6407715694177213,FALSE,FALSE,161.00261332194012,122.09057525634766,Salix wolfii / Deschampsia cespitosa Wet Shrubland,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S05.a,S10.a,Silver-sage sedge park,Snowberry mesic meadow,24,30,0.189508103241391,0.6474245672514612,FALSE,FALSE,126.13806215922038,133.76779301961264,Artemisia cana Montane Wet Shrubland Alliance,Danthonia intermedia - Solidago multiradiata Grassland
S10.a,S21,Snowberry mesic meadow,Brome disturbed meadow,30,14,0.1775170327178281,0.6532148175838086,FALSE,FALSE,133.76779301961264,165.87781742640905,Danthonia intermedia - Solidago multiradiata Grassland,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
S02.a,S09.a,Montane forb-grass meadow,Lathyrus mesic meadow,47,19,0.3148172052166,0.6549110202409266,FALSE,FALSE,128.4723697418862,148.69068266216078,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Carex microptera Wet Meadow
S11,S18,Wyethia swale meadow,Low sagebrush-rabbitbrush steppe,30,30,0.2015429150684482,0.6577348625938763,FALSE,FALSE,126.35915756225586,101.7091542561849,NA,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S12,S13.b,Rocky sparse forb slope,Lupine-bilberry slope,25,8,0.24572775203584216,0.6653430813539165,FALSE,FALSE,161.35852783203126,159.33859634399414,Geum rossii - Sibbaldia procumbens Alpine Snowbed,Salix wolfii / Calamagrostis canadensis Wet Shrubland
S06.b,S20,Subalpine mixed meadow,Rocky buckwheat barren,82,13,0.24986481898669305,0.6667291425860378,FALSE,FALSE,143.2728446402201,133.669188279372,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Poa nervosa - Achnatherum lettermanii Grassland
S02.a,S23,Montane forb-grass meadow,Subalpine forb turf,47,18,0.2120282199085218,0.6684966811556088,FALSE,FALSE,128.4723697418862,144.4867926703559,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Salix wolfii / Mesic Forbs Wet Shrubland
S11,S21,Wyethia swale meadow,Brome disturbed meadow,30,14,0.2115976755584953,0.6689529264742109,FALSE,FALSE,126.35915756225586,165.87781742640905,NA,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
S12,S18,Rocky sparse forb slope,Low sagebrush-rabbitbrush steppe,25,30,0.17819239989636662,0.6698710745738548,FALSE,FALSE,161.35852783203126,101.7091542561849,Geum rossii - Sibbaldia procumbens Alpine Snowbed,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S04.b,S21,Sagebrush-kinnikinnick matrix,Brome disturbed meadow,43,14,0.22531063477539168,0.671129080179118,FALSE,FALSE,115.22257747206577,165.87781742640905,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
Osmorhiza occidentalis,S12,Sweet-cicely stand,Rocky sparse forb slope,8,25,0.2022723970390493,0.6713556764517729,FALSE,FALSE,140.2346534729004,161.35852783203126,NA,Geum rossii - Sibbaldia procumbens Alpine Snowbed
S19,S21,Dry montane grass park,Brome disturbed meadow,25,14,0.2203327681060304,0.6820336068381699,FALSE,FALSE,122.09057525634766,165.87781742640905,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
S11,S13.b,Wyethia swale meadow,Lupine-bilberry slope,30,8,0.2798826247664994,0.6830827558680643,FALSE,FALSE,126.35915756225586,159.33859634399414,NA,Salix wolfii / Calamagrostis canadensis Wet Shrubland
S06.b,S21,Subalpine mixed meadow,Brome disturbed meadow,82,14,0.23709876827502482,0.683799471685506,FALSE,FALSE,143.2728446402201,165.87781742640905,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
S11,S14,Wyethia swale meadow,Alpine wet graminoid turf,30,14,0.15802562466491638,0.6877911665772963,FALSE,FALSE,126.35915756225586,169.51754324776786,NA,Calamagrostis stricta Wet Meadow
S12,S14,Rocky sparse forb slope,Alpine wet graminoid turf,25,14,0.1304122737279572,0.6887422392982991,FALSE,FALSE,161.35852783203126,169.51754324776786,Geum rossii - Sibbaldia procumbens Alpine Snowbed,Calamagrostis stricta Wet Meadow
S19,S23,Dry montane grass park,Subalpine forb turf,25,18,0.2089296033632088,0.699639155105293,FALSE,FALSE,122.09057525634766,144.4867926703559,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance,Salix wolfii / Mesic Forbs Wet Shrubland
S10.a,S20,Snowberry mesic meadow,Rocky buckwheat barren,30,13,0.20984093882072957,0.6999740796858535,FALSE,FALSE,133.76779301961264,133.669188279372,Danthonia intermedia - Solidago multiradiata Grassland,Poa nervosa - Achnatherum lettermanii Grassland
S18,S22,Low sagebrush-rabbitbrush steppe,Senescent sagebrush park,30,17,0.22314485531477554,0.7004639725071852,FALSE,FALSE,101.7091542561849,126.1892157161937,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group
S01.a,S22,Montane mixed shrub-meadow,Senescent sagebrush park,53,17,0.2687029348619511,0.7006385053215406,FALSE,FALSE,122.99547317792783,126.1892157161937,Chrysothamnus viscidiflorus Shrub Grassland,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group
S11,S23,Wyethia swale meadow,Subalpine forb turf,30,18,0.20609834521677234,0.7060969920018556,FALSE,FALSE,126.35915756225586,144.4867926703559,NA,Salix wolfii / Mesic Forbs Wet Shrubland
S07,S12,Alpine snowbed forb turf,Rocky sparse forb slope,24,25,0.23741154016530178,0.7065315033685359,FALSE,FALSE,169.97183799743652,161.35852783203126,Cardamine cordifolia - Mertensia ciliata - Senecio triangularis Wet Meadow,Geum rossii - Sibbaldia procumbens Alpine Snowbed
Osmorhiza occidentalis,S19,Sweet-cicely stand,Dry montane grass park,8,25,0.2462788571456704,0.7068040607738025,FALSE,FALSE,140.2346534729004,122.09057525634766,NA,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S05.a,S21,Silver-sage sedge park,Brome disturbed meadow,24,14,0.21210439027725803,0.7084843157826135,FALSE,FALSE,126.13806215922038,165.87781742640905,Artemisia cana Montane Wet Shrubland Alliance,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
S09.a,S10.a,Lathyrus mesic meadow,Snowberry mesic meadow,19,30,0.2921967775617084,0.711180276904873,FALSE,FALSE,148.69068266216078,133.76779301961264,Carex microptera Wet Meadow,Danthonia intermedia - Solidago multiradiata Grassland
S05.a,S08.a,Silver-sage sedge park,Deschampsia forb meadow,24,30,0.22749833598134828,0.7177570719783842,FALSE,FALSE,126.13806215922038,161.00261332194012,Artemisia cana Montane Wet Shrubland Alliance,Salix wolfii / Deschampsia cespitosa Wet Shrubland
S06.b,S25,Subalpine mixed meadow,Low mixed shrub-steppe,82,21,0.24092488031011203,0.7184306348946747,FALSE,FALSE,143.2728446402201,97.45130193801154,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Purshia tridentata - Ribes cereum Shrubland Alliance
S20,S22,Rocky buckwheat barren,Senescent sagebrush park,13,17,0.2573232873669935,0.7218366364440624,FALSE,FALSE,133.669188279372,126.1892157161937,Poa nervosa - Achnatherum lettermanii Grassland,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group
S05.a,S25,Silver-sage sedge park,Low mixed shrub-steppe,24,21,0.20795415100561493,0.7220900009937335,FALSE,FALSE,126.13806215922038,97.45130193801154,Artemisia cana Montane Wet Shrubland Alliance,Purshia tridentata - Ribes cereum Shrubland Alliance
S04.b,S23,Sagebrush-kinnikinnick matrix,Subalpine forb turf,43,18,0.2250002744962075,0.7227974149071572,FALSE,FALSE,115.22257747206577,144.4867926703559,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Salix wolfii / Mesic Forbs Wet Shrubland
S10.a,S14,Snowberry mesic meadow,Alpine wet graminoid turf,30,14,0.13453718030920772,0.7264213501265627,FALSE,FALSE,133.76779301961264,169.51754324776786,Danthonia intermedia - Solidago multiradiata Grassland,Calamagrostis stricta Wet Meadow
S14,S19,Alpine wet graminoid turf,Dry montane grass park,14,25,0.17214175915027624,0.7278750651140586,FALSE,FALSE,169.51754324776786,122.09057525634766,Calamagrostis stricta Wet Meadow,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S04.b,S14,Sagebrush-kinnikinnick matrix,Alpine wet graminoid turf,43,14,0.1823061846715449,0.7316680148864885,FALSE,FALSE,115.22257747206577,169.51754324776786,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Calamagrostis stricta Wet Meadow
S08.a,S18,Deschampsia forb meadow,Low sagebrush-rabbitbrush steppe,30,30,0.20956897233844937,0.732467809285493,FALSE,FALSE,161.00261332194012,101.7091542561849,Salix wolfii / Deschampsia cespitosa Wet Shrubland,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S06.b,S23,Subalpine mixed meadow,Subalpine forb turf,82,18,0.23611094024091855,0.7325598403589528,FALSE,FALSE,143.2728446402201,144.4867926703559,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Salix wolfii / Mesic Forbs Wet Shrubland
S08.a,S21,Deschampsia forb meadow,Brome disturbed meadow,30,14,0.21688977319961025,0.7327218004651656,FALSE,FALSE,161.00261332194012,165.87781742640905,Salix wolfii / Deschampsia cespitosa Wet Shrubland,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
Osmorhiza occidentalis,S05.a,Sweet-cicely stand,Silver-sage sedge park,8,24,0.24161353128827118,0.7439639771424676,FALSE,FALSE,140.2346534729004,126.13806215922038,NA,Artemisia cana Montane Wet Shrubland Alliance
S04.b,S25,Sagebrush-kinnikinnick matrix,Low mixed shrub-steppe,43,21,0.24147605486372797,0.7445373605835653,FALSE,FALSE,115.22257747206577,97.45130193801154,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Purshia tridentata - Ribes cereum Shrubland Alliance
S19,S22,Dry montane grass park,Senescent sagebrush park,25,17,0.2777886396645307,0.7445701528111117,FALSE,FALSE,122.09057525634766,126.1892157161937,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group
S04.b,S07,Sagebrush-kinnikinnick matrix,Alpine snowbed forb turf,43,24,0.2948751532047082,0.7449338557178025,FALSE,FALSE,115.22257747206577,169.97183799743652,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Cardamine cordifolia - Mertensia ciliata - Senecio triangularis Wet Meadow
S18,S21,Low sagebrush-rabbitbrush steppe,Brome disturbed meadow,30,14,0.2001537821306895,0.7453574580471947,FALSE,FALSE,101.7091542561849,165.87781742640905,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
S11,S20,Wyethia swale meadow,Rocky buckwheat barren,30,13,0.25698891889009945,0.7463305653144904,FALSE,FALSE,126.35915756225586,133.669188279372,NA,Poa nervosa - Achnatherum lettermanii Grassland
