a,b,short_a,short_b,n_a,n_b,dist,ratio,same_top1,same_parent,doy_a,doy_b,top1_a,top1_b
Corydalis caseana,S03,Fitweed seep stand,Tall-forb wet meadow,5,22,0.35513140221895917,NA,TRUE,FALSE,156.65664978027343,150.97071769020775,Heracleum maximum - Veratrum viride Wet Meadow Alliance,Heracleum maximum - Veratrum viride Wet Meadow Alliance
Corydalis caseana,Veratrum tenuipetalum,Fitweed seep stand,Corn-lily meadow,5,19,0.10847929734152761,NA,TRUE,FALSE,156.65664978027343,144.13206401624177,Heracleum maximum - Veratrum viride Wet Meadow Alliance,Heracleum maximum - Veratrum viride Wet Meadow Alliance
S01.a,S19,Montane mixed shrub-meadow,Dry montane grass park,53,25,0.07613136155205572,0.20134984377051499,FALSE,FALSE,122.99547317792783,122.09057525634766,Chrysothamnus viscidiflorus Shrub Grassland,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S18,S25,Low sagebrush-rabbitbrush steppe,Low mixed shrub-steppe,30,21,0.05189819439490441,0.20182422864076507,FALSE,FALSE,101.7091542561849,97.45130193801154,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group,Purshia tridentata - Ribes cereum Shrubland Alliance
S04.b,S06.b,Sagebrush-kinnikinnick matrix,Subalpine mixed meadow,43,82,0.08839725472438618,0.21878881535412278,FALSE,FALSE,115.22257747206577,143.2728446402201,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland"
Osmorhiza occidentalis,S08.a,Sweet-cicely stand,Deschampsia forb meadow,8,30,0.077925869259695,0.24246284131514295,FALSE,FALSE,140.2346534729004,161.00261332194012,NA,Salix wolfii / Deschampsia cespitosa Wet Shrubland
S01.a,S02.a,Montane mixed shrub-meadow,Montane forb-grass meadow,53,47,0.12310438053406408,0.31035882468951703,FALSE,FALSE,122.99547317792783,128.4723697418862,Chrysothamnus viscidiflorus Shrub Grassland,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland
S01.a,S18,Montane mixed shrub-meadow,Low sagebrush-rabbitbrush steppe,53,30,0.10113242221009736,0.31253627533023437,FALSE,FALSE,122.99547317792783,101.7091542561849,Chrysothamnus viscidiflorus Shrub Grassland,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S01.a,S10.a,Montane mixed shrub-meadow,Snowberry mesic meadow,53,30,0.11359981565349413,0.3476006563249022,FALSE,FALSE,122.99547317792783,133.76779301961264,Chrysothamnus viscidiflorus Shrub Grassland,Danthonia intermedia - Solidago multiradiata Grassland
S06.b,S11,Subalpine mixed meadow,Wyethia swale meadow,82,30,0.13997830026787508,0.3639363529504925,FALSE,FALSE,143.2728446402201,126.35915756225586,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",NA
S10.a,S18,Snowberry mesic meadow,Low sagebrush-rabbitbrush steppe,30,30,0.09923457093115431,0.378950303971315,FALSE,FALSE,133.76779301961264,101.7091542561849,Danthonia intermedia - Solidago multiradiata Grassland,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S01.a,S06.b,Montane mixed shrub-meadow,Subalpine mixed meadow,53,82,0.15226561095514193,0.37896859929113474,FALSE,FALSE,122.99547317792783,143.2728446402201,Chrysothamnus viscidiflorus Shrub Grassland,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland"
S11,S12,Wyethia swale meadow,Rocky sparse forb slope,30,25,0.12196503181169173,0.3886863403984116,FALSE,FALSE,126.35915756225586,161.35852783203126,NA,Geum rossii - Sibbaldia procumbens Alpine Snowbed
S02.a,S19,Montane forb-grass meadow,Dry montane grass park,47,25,0.1506069482774618,0.3899449449921492,FALSE,FALSE,128.4723697418862,122.09057525634766,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S06.b,S08.a,Subalpine mixed meadow,Deschampsia forb meadow,82,30,0.14214468802778457,0.3901677145183981,FALSE,FALSE,143.2728446402201,161.00261332194012,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Salix wolfii / Deschampsia cespitosa Wet Shrubland
S02.a,S04.b,Montane forb-grass meadow,Sagebrush-kinnikinnick matrix,47,43,0.1558948233183801,0.39081932811536774,FALSE,FALSE,128.4723697418862,115.22257747206577,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance
S04.b,S05.a,Sagebrush-kinnikinnick matrix,Silver-sage sedge park,43,24,0.13947336054505066,0.3910426635223664,FALSE,FALSE,115.22257747206577,126.13806215922038,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Artemisia cana Montane Wet Shrubland Alliance
S18,S19,Low sagebrush-rabbitbrush steppe,Dry montane grass park,30,25,0.1264207664074199,0.40369308735692666,FALSE,FALSE,101.7091542561849,122.09057525634766,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S06.b,S09.a,Subalpine mixed meadow,Lathyrus mesic meadow,82,19,0.1982884336578309,0.4081352629857184,FALSE,FALSE,143.2728446402201,148.69068266216078,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Carex microptera Wet Meadow
S05.a,S20,Silver-sage sedge park,Rocky buckwheat barren,24,13,0.13403539723543184,0.4093902577378853,FALSE,FALSE,126.13806215922038,133.669188279372,Artemisia cana Montane Wet Shrubland Alliance,Poa nervosa - Achnatherum lettermanii Grassland
Osmorhiza occidentalis,S06.b,Sweet-cicely stand,Subalpine mixed meadow,8,82,0.1525699530714625,0.40999685167022015,FALSE,FALSE,140.2346534729004,143.2728446402201,NA,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland"
S01.a,S04.b,Montane mixed shrub-meadow,Sagebrush-kinnikinnick matrix,53,43,0.16475662836391386,0.4216193654702346,FALSE,FALSE,122.99547317792783,115.22257747206577,Chrysothamnus viscidiflorus Shrub Grassland,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance
S01.a,S25,Montane mixed shrub-meadow,Low mixed shrub-steppe,53,21,0.1372889691819842,0.4262443684994466,FALSE,FALSE,122.99547317792783,97.45130193801154,Chrysothamnus viscidiflorus Shrub Grassland,Purshia tridentata - Ribes cereum Shrubland Alliance
S02.a,S06.b,Montane forb-grass meadow,Subalpine mixed meadow,47,82,0.17781191936914112,0.4337819740646214,FALSE,FALSE,128.4723697418862,143.2728446402201,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland"
S04.b,S08.a,Sagebrush-kinnikinnick matrix,Deschampsia forb meadow,43,30,0.1546190229934282,0.43764429201179117,FALSE,FALSE,115.22257747206577,161.00261332194012,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Salix wolfii / Deschampsia cespitosa Wet Shrubland
S02.a,S20,Montane forb-grass meadow,Rocky buckwheat barren,47,13,0.1620054324495713,0.4382974860302054,FALSE,FALSE,128.4723697418862,133.669188279372,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Poa nervosa - Achnatherum lettermanii Grassland
S21,S23,Brome disturbed meadow,Subalpine forb turf,14,18,0.1115346324163524,0.4391159103744244,FALSE,FALSE,165.87781742640905,144.4867926703559,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland,Salix wolfii / Mesic Forbs Wet Shrubland
S02.a,S18,Montane forb-grass meadow,Low sagebrush-rabbitbrush steppe,47,30,0.14669409951287507,0.44223934976738793,FALSE,FALSE,128.4723697418862,101.7091542561849,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S06.b,S10.a,Subalpine mixed meadow,Snowberry mesic meadow,82,30,0.15915998844385584,0.468020832571381,FALSE,FALSE,143.2728446402201,133.76779301961264,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Danthonia intermedia - Solidago multiradiata Grassland
S12,S21,Rocky sparse forb slope,Brome disturbed meadow,25,14,0.12979020034839567,0.470421286423786,FALSE,FALSE,161.35852783203126,165.87781742640905,Geum rossii - Sibbaldia procumbens Alpine Snowbed,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
S06.b,S19,Subalpine mixed meadow,Dry montane grass park,82,25,0.18436179621121285,0.47107509378206364,FALSE,FALSE,143.2728446402201,122.09057525634766,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S02.a,S05.a,Montane forb-grass meadow,Silver-sage sedge park,47,24,0.1720210120834604,0.4744736973135551,FALSE,FALSE,128.4723697418862,126.13806215922038,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Artemisia cana Montane Wet Shrubland Alliance
Osmorhiza occidentalis,S04.b,Sweet-cicely stand,Sagebrush-kinnikinnick matrix,8,43,0.17151779594648905,0.4749788265606763,FALSE,FALSE,140.2346534729004,115.22257747206577,NA,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance
S01.a,S11,Montane mixed shrub-meadow,Wyethia swale meadow,53,30,0.17679042793865646,0.4760569945866366,FALSE,FALSE,122.99547317792783,126.35915756225586,Chrysothamnus viscidiflorus Shrub Grassland,NA
S19,S25,Dry montane grass park,Low mixed shrub-steppe,25,21,0.14856986069646222,0.47669848673614423,FALSE,FALSE,122.09057525634766,97.45130193801154,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance,Purshia tridentata - Ribes cereum Shrubland Alliance
S02.a,S11,Montane forb-grass meadow,Wyethia swale meadow,47,30,0.18225414740581958,0.4802667041100736,FALSE,FALSE,128.4723697418862,126.35915756225586,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,NA
S10.a,S19,Snowberry mesic meadow,Dry montane grass park,30,25,0.15404589651937686,0.48689275202769366,FALSE,FALSE,133.76779301961264,122.09057525634766,Danthonia intermedia - Solidago multiradiata Grassland,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S04.b,S11,Sagebrush-kinnikinnick matrix,Wyethia swale meadow,43,30,0.1829240695026807,0.4896195273235738,FALSE,FALSE,115.22257747206577,126.35915756225586,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,NA
S02.a,S08.a,Montane forb-grass meadow,Deschampsia forb meadow,47,30,0.175950114970331,0.4898672822946054,FALSE,FALSE,128.4723697418862,161.00261332194012,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Salix wolfii / Deschampsia cespitosa Wet Shrubland
S04.b,S09.a,Sagebrush-kinnikinnick matrix,Lathyrus mesic meadow,43,19,0.23578486766937987,0.49657581050590544,FALSE,FALSE,115.22257747206577,148.69068266216078,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Carex microptera Wet Meadow
S11,S19,Wyethia swale meadow,Dry montane grass park,30,25,0.17950462177244014,0.49732758236822544,FALSE,FALSE,126.35915756225586,122.09057525634766,NA,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S01.a,S08.a,Montane mixed shrub-meadow,Deschampsia forb meadow,53,30,0.17750379249511639,0.5056254581033399,FALSE,FALSE,122.99547317792783,161.00261332194012,Chrysothamnus viscidiflorus Shrub Grassland,Salix wolfii / Deschampsia cespitosa Wet Shrubland
S04.b,S10.a,Sagebrush-kinnikinnick matrix,Snowberry mesic meadow,43,30,0.16644931424365142,0.5058453135579123,FALSE,FALSE,115.22257747206577,133.76779301961264,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Danthonia intermedia - Solidago multiradiata Grassland
S08.a,S11,Deschampsia forb meadow,Wyethia swale meadow,30,30,0.16987501249090892,0.5087732993472556,FALSE,FALSE,161.00261332194012,126.35915756225586,Salix wolfii / Deschampsia cespitosa Wet Shrubland,NA
S12,S23,Rocky sparse forb slope,Subalpine forb turf,25,18,0.12800861305055272,0.50903278471607,FALSE,FALSE,161.35852783203126,144.4867926703559,Geum rossii - Sibbaldia procumbens Alpine Snowbed,Salix wolfii / Mesic Forbs Wet Shrubland
S10.a,S25,Snowberry mesic meadow,Low mixed shrub-steppe,30,21,0.1331469575480649,0.5113747717080038,FALSE,FALSE,133.76779301961264,97.45130193801154,Danthonia intermedia - Solidago multiradiata Grassland,Purshia tridentata - Ribes cereum Shrubland Alliance
