index,formula,target_wavelengths_nm
ndvi,(b860 - b660) / (b860 + b660),"660,860"
ndwi,(b860 - b1240) / (b860 + b1240),"860,1240"
pri,(b531 - b570) / (b531 + b570),"531,570"
red_edge_slope,(b750 - b700) / (wl750 - wl700),"700,750"
cai,0.5*(b2000 + b2200) - b2100,"2000,2100,2200"
ndli,(log(1/b1754) - log(1/b1680)) / (log(1/b1754) + log(1/b1680)),"1680,1754"
