point_id,point_type,doy_band,snow_free_doy,ndvi_18,ndvi_25,ndvi_diff,ndwi_18,ndwi_25,ndwi_diff,brightness_18,brightness_25,brightness_diff
2,non_vegetated,early,128.8708953857422,0.19414919795840893,0.21813663976637102,0.023987441807962084,-0.1908774239005397,-0.2182839484838064,-0.0274065245832667,0.22790803728483572,0.21932065720882332,-0.008587380076012396
3,non_vegetated,early,117.00971221923828,0.3414610195260868,0.12320497930639097,-0.21825604021969586,-0.11117600824234895,-0.05120607924971735,0.0599699289926316,0.14481302300871118,0.23563607260584835,0.09082304959713716
5,non_vegetated,early,128.80239868164062,0.12807211587139325,0.15084407633875327,0.02277196046736002,-0.05397320659104038,-0.06611617871414444,-0.012142972123104057,0.1578500258774437,0.14728364836620653,-0.01056637751123718
6,non_vegetated,early,129.1759033203125,0.07971905141044201,0.09721001448488353,0.01749096307444152,-0.059617187922653386,-0.05641373747801829,0.003203450444635096,0.33310413424644564,0.2667624604283717,-0.06634167381807393
8,non_vegetated,early,121.19178771972656,0.12469081879319321,0.10540815740555821,-0.019282661387635,-0.0660519351951647,-0.03293502399662914,0.033116911198535555,0.190657855152038,0.2446272162404674,0.053969361088429396
9,non_vegetated,early,121.58241271972656,0.31408343524451277,0.09394794410293814,-0.22013549114157463,-0.14858659948292263,-0.11260981143748498,0.03597678804543765,0.22595618611408605,0.1717411640748294,-0.054215022039256655
10,non_vegetated,early,120.47608947753906,0.16437664241006586,0.2187440008599201,0.05436735844985424,-0.24254386745088272,-0.24946834652456207,-0.0069244790736793516,0.23435285694417887,0.22542644173168297,-0.008926415212495903
11,non_vegetated,early,123.43057250976562,0.21984116909611828,0.24332708740821546,0.023485918312097176,-0.20706543487070286,-0.19775405860567566,0.009311376265027205,0.21683231788681956,0.21005105096302185,-0.006781266923797713
12,non_vegetated,early,106.97498321533205,0.17161737983533137,0.19757398722761654,0.02595660739228517,-0.23481180542631774,-0.22952361592874707,0.005288189497570678,0.270519642954507,0.2235440938771643,-0.046975549077342665
13,non_vegetated,early,114.96670532226562,0.08635900148722127,0.13308106526702196,0.04672206377980069,-0.07002276872060405,-0.11060304424594275,-0.0405802755253387,0.17326389245732493,0.1586213888829215,-0.014642503574403443
15,non_vegetated,early,115.06085205078124,0.07557212400101718,0.10258848833674666,0.027016364335729487,-0.05755104332618942,-0.07390754742490814,-0.01635650409871872,0.3161580807937866,0.22216470689017168,-0.09399337390361492
17,non_vegetated,early,127.53131103515624,0.8179719487060342,0.47636297949810913,-0.34160896920792505,-0.1251647907203679,-0.06051460987994786,0.06465018084042004,0.032413916082088406,0.10917300517055421,0.0767590890884658
19,non_vegetated,early,116.64772033691406,0.2480495219762611,0.1499130417896709,-0.09813648018659019,-0.06388375863589073,-0.07467075857824253,-0.0107869999423518,0.2121523646104057,0.17895863194083966,-0.033193732669566045
20,non_vegetated,early,118.70826721191406,0.25563879453210864,0.24938528413794236,-0.006253510394166273,-0.12840982622697786,-0.13467209483367834,-0.006262268606700483,0.19910016942834638,0.20890645712004072,0.009806287691694338
21,non_vegetated,early,119.40483856201172,0.0968871767780408,0.1296758882606433,0.0327887114826025,-0.0568277650425235,-0.06258175915043039,-0.00575399410790689,0.24080113709975054,0.11416933363880856,-0.126631803460942
