band,wavelength_nm,2018,2025,Both years
1,384,0.616955618328351,0.8164804079600524,0.7479062130467014
2,389,0.6169556183283413,0.8164804079600099,0.7479062130466677
3,394,0.6169556183283322,0.8164804079600322,0.7479062130466827
4,399,0.6169556183283472,0.8164804079600513,0.7479062130466987
5,404,0.5204189185795683,0.537047293541567,0.5326096083044649
6,409,0.4226796491078562,0.4358362592289539,0.43386001322585677
7,414,0.39230099563261883,0.39289621357751275,0.393816122191037
8,419,0.34747436046362434,0.35338464279095805,0.35522085299566153
9,424,0.3288413641143136,0.328036669032976,0.33229928025762107
10,429,0.3012588738044148,0.2992676751277884,0.3052858168479126
11,434,0.28973722483130976,0.28011699066296136,0.28925054023779756
12,439,0.27646585841617444,0.26548643719095943,0.27683482134777015
13,444,0.2658823892417544,0.25260591511657793,0.26602972430090327
14,449,0.2735598315126288,0.2537522889099456,0.2684089025734433
15,454,0.2569758200007061,0.2369769736442466,0.253199962974591
16,459,0.24267929676872374,0.21948463957058217,0.23821983250679013
17,464,0.24901172523745196,0.21836869540678855,0.23824346329308935
18,469,0.25671612333554455,0.21224523045222568,0.23508375581796354
19,474,0.23808364005888566,0.20132501887154694,0.224409313975603
20,479,0.23314083840890074,0.19396616177075476,0.21689311435093475
21,484,0.216885105945693,0.177230696415402,0.20081303664619507
22,489,0.19985355639264246,0.16380492236482735,0.1863071677106694
23,494,0.18837993271972678,0.1523285109546178,0.175135704117537
24,499,0.18221444462545802,0.14781905966516654,0.1696316849063295
25,504,0.18554613221608843,0.15188124936028657,0.1730590330664914
26,509,0.17566688329400537,0.14216975675655757,0.16314995615687064
27,514,0.17034250943067047,0.14176578314118368,0.1617810572849894
28,519,0.18624272793734836,0.15876028921458618,0.17680491890326583
29,524,0.2029220632612552,0.18118073717326605,0.1969739408508458
30,529,0.24106684813675805,0.21616418000689464,0.23068587222986742
31,534,0.28848943642778363,0.26042062236907965,0.2708834865760818
32,539,0.3096984249770576,0.27868497049370944,0.286250287061657
33,544,0.3458194931794177,0.3106740427911778,0.3154323037666101
34,549,0.3983170696665809,0.3573049830661482,0.3564900460741237
35,554,0.4309260875444474,0.37984239460961333,0.3778529439097059
36,559,0.41141626057947583,0.3661614255466393,0.35883311384815697
37,564,0.38074813632661353,0.33985289170435656,0.32992349622045297
38,569,0.33689152625085483,0.2970760322649989,0.2868621544297702
