band_idx,wavelength_nm,center,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1,384,-0.0025468209306460363,-6.338151788366778e-4,0.003863341443613062,0.0019341117173413244,0.00807402004486506,-0.003875057060635481,-0.012260800280500011,0.026449285815221466,0.04940181968845348,-0.08962320185368969,0.05523742810062912,-0.22424501359708693,0.2262041008371984,-0.07625615856040459,0.008479642706929148,-0.06478034179285808,0.05566403912072316,-0.029987273582911086,6.226050702664727e-5,0.042274121033771275,-0.03769620990057265
2,389,-0.0025468209306460363,-6.338151788374269e-4,0.003863341443613194,0.0019341117173414333,0.008074020044866584,-0.0038750570606307985,-0.012260800280503355,0.02644928581521578,0.04940181968845936,-0.08962320185368262,0.05523742810062919,-0.22424501359707744,0.2262041008371905,-0.07625615856040406,0.00847964270691842,-0.06478034179286646,0.05566403912071948,-0.02998727358293154,6.22605070260062e-5,0.04227412103380394,-0.037696209900610456
3,394,-0.0025468209306460363,-6.338151788366497e-4,0.003863341443614443,0.0019341117173418548,0.008074020044863878,-0.0038750570606368093,-0.012260800280498474,0.026449285815223156,0.04940181968845278,-0.0896232018536898,0.055237428100631245,-0.22424501359708315,0.22620410083719658,-0.0762561585604037,0.008479642706931884,-0.06478034179285502,0.05566403912072491,-0.02998727358289964,6.2260507026171865e-05,0.042274121033761575,-0.037696209900567115
4,399,-0.0025468209306460363,-6.338151788366788e-4,0.003863341443613,0.0019341117173418965,0.008074020044865904,-0.0038750570606362333,-0.012260800280498668,0.02644928581522127,0.0494018196884517,-0.08962320185369305,0.05523742810062729,-0.22424501359708626,0.22620410083719739,-0.07625615856040337,0.008479642706929993,-0.06478034179286307,0.055664039120725865,-0.02998727358291184,6.226050702829771e-5,0.042274121033772254,-0.037696209900565915
5,404,0.004809125360706974,-0.012131863050509107,0.015337988354691872,0.047771942741603124,0.043223700475162996,-0.01359472541368853,0.05897957681095662,0.07943487943024229,0.028468277474131637,-0.07809632045611334,0.0938706630350912,-0.10102000082340054,-0.12392991028360287,-0.03459830117964098,-0.025823607424135253,-0.0048806823813791166,-0.05999784231107871,0.1722288296318138,-0.05927886695677142,0.00581945050177431,0.04936131911694635
6,409,0.004672197445813069,-0.011729341046218663,0.014433173072928027,0.04678013544979698,0.04339681492557029,-0.011677875897806056,0.05414153492311463,0.07761539404400838,0.0248261671382329,-0.07776873247098427,0.09456430838352546,-0.09851152114283732,-0.11251502167972999,-0.03848319613319489,-0.03038937775774855,-0.009269572968625014,-0.058698649437545845,0.1310827096312844,-0.05031307724363547,-0.011298668120807038,0.03783181965189373
7,414,0.004672701867118033,-0.011498222350701522,0.013772517444229155,0.04553554123154441,0.04632324368719487,-0.011567171763318673,0.05261629299542858,0.0790229485469941,0.027292435050666142,-0.08004777098277069,0.08972405983618045,-0.09381724852627224,-0.09637781426531383,-0.028171824984523752,-0.02727872647168305,8.630409429780106e-5,-0.06030709609005853,0.12626378839939045,-0.034957379881171834,-0.0163835127033295,0.045758941499046836
8,419,0.004777386422895264,-0.011480143716747956,0.01312602779724003,0.04548359041336645,0.04761640231104791,-0.011747595308278957,0.05195396966461985,0.07947036024281573,0.025794775660914926,-0.07541933825938585,0.08843980283098303,-0.09303449643179983,-0.08982821118971429,-0.03510062037436013,-0.01533808815344545,-0.005121484041382324,-0.050613264384487135,0.11839214108907523,-0.04696613672333252,-0.013671998733710278,0.006482235490636147
9,424,0.004972940138165766,-0.01154463458719661,0.012837456165660892,0.04634262709382442,0.04775315888155733,-0.010792682405385667,0.05105558263461141,0.07780515513399142,0.028141909253887237,-0.06793556776766208,0.08849273152369573,-0.08629415222772815,-0.08905504550591686,-0.026719945851960664,-0.008081924584526045,-0.006643311610542435,-0.055202682921349465,0.11058590196618166,-0.04588625881597046,-0.02992530524494122,0.0187395318372943
10,429,0.0052187004373085944,-0.01166698344048501,0.012188645971509308,0.04717661515678347,0.051917790063819594,-0.010189982282880289,0.05034382405269927,0.07721709037728575,0.03147673889729706,-0.06858892619703133,0.08540740293951865,-0.08570095914410539,-0.07999069022115013,-0.020841672904545167,-0.008296480223088171,5.4061357989687586e-5,-0.04142664397768611,0.1058032389896898,-0.05092208816446191,-0.006025966151892548,0.005134478131075676
11,434,0.00551862177288873,-0.011977653021140504,0.011910543500422928,0.04835293710046945,0.0539222926859631,-0.00726296948463823,0.049084258652237804,0.07981552923532237,0.02865025513014635,-0.06901965745883565,0.08499723703396919,-0.0811494353403886,-0.07747496052666039,-0.019221874952711604,3.0166441022196067e-4,-0.0011987169253971364,-0.045938395009214816,0.09511601577497995,-0.017378922072451963,-0.0034057389132413074,-0.02234467834129099
12,439,0.005844876600401409,-0.012356107352511195,0.011553214386089103,0.050804393940734674,0.056208527386091806,-0.005397513505674615,0.050811938747783,0.07779283700522321,0.026714495285060313,-0.060605236975459276,0.07853422839662288,-0.07299859453946814,-0.08230750539788571,-0.019064024794791135,-0.004914929273184224,0.0077235734196620665,-0.043536039522715564,0.09167758403914861,-0.009289022435064433,-0.012986661164435753,-0.023039167629428786
13,444,0.00615746091721287,-0.012705117850635292,0.011371654827354418,0.05234975474806814,0.05892205169569599,-0.0021702826187906814,0.04914263525077153,0.07785667938898841,0.026198840637878557,-0.0569012983107712,0.07915396627468235,-0.06512254464340633,-0.08392315310262721,-0.014263844204158466,0.002610220235330942,0.012990292427946831,-0.04283409091227408,0.08484072831244367,0.0067315489837385546,-0.00554489720169421,-0.021483182084718777
14,449,0.00642899745506045,-0.013034964820040231,0.010989409130323296,0.05328722640173061,0.060926753921134426,-3.805127893046635e-4,0.05138311738919928,0.07785152399272535,0.026840768022000538,-0.058347015775379416,0.07348006890282632,-0.06306479958399057,-0.08109245290014125,-0.009480210045361648,0.003500972574884617,0.012019991263045399,-0.04452569596679377,0.08498332363564952,-0.0015039807258644365,-0.005572158384743453,-0.046052405734270746
15,454,0.006659174695133074,-0.013316909047223817,0.01076243097093164,0.05458666992367722,0.062062970321605314,0.001342819454349138,0.049656014495127104,0.07744551136627693,0.025086738896510186,-0.05577379236803055,0.07291788468403093,-0.05521488327441415,-0.08175806038986885,-0.00636350622822579,0.010066325873826443,0.01734238095750673,-0.040470552539948385,0.07445822273995557,-0.002923588124469526,-0.00762659579832789,-0.04265768263429007
16,459,0.006862189174799759,-0.013611004651223302,0.010368815545336014,0.05544419214933973,0.06465843369644166,0.003651984466656131,0.04974269514832044,0.07976343328490433,0.02289805435765386,-0.05074132616471683,0.06946774963547986,-0.05033303782897561,-0.07676713789825679,-0.003635211429551255,0.013973604398069502,0.020445261020264366,-0.03972314521462306,0.061862611714196686,0.005199649330248249,-0.0026876344717089926,-0.04093513621259344
17,464,0.007010663345896406,-0.013801702598527298,0.010010462811449097,0.05515365530504349,0.06551040892321926,0.005045232754653322,0.04892142922187437,0.07980523283536417,0.023440938149103648,-0.049329974529051954,0.06452011626717964,-0.04022419353564924,-0.07270899790438423,3.599177087842409e-4,0.017016238104668346,0.024576652704937918,-0.04603324379662699,0.06258950691994603,0.003850288974548438,-0.008565172635728813,-0.058335995412389444
18,469,0.007109545482453268,-0.01398772794922392,0.009440535717074545,0.05529325364115989,0.06729435315897976,0.005782726894133051,0.047775861286694705,0.08165622551762561,0.022949854450666555,-0.044994156987238874,0.06539281915621609,-0.03836533577635348,-0.060803999673305825,-0.0032682335348495767,0.02166725213641274,0.028312830301729708,-0.04326059867886611,0.061567559693906676,-0.008702646513394545,-0.010109729439907178,-0.0735673687489449
19,474,0.0072250250852315435,-0.014135004280612264,0.00922104707933634,0.05533046528675008,0.06681590157880507,0.007537332194561964,0.04585729565658513,0.08349970967040198,0.022510948250310022,-0.039505632068576775,0.06493732528182915,-0.033843775151682666,-0.06266415376335939,0.00510396405488368,0.023999155653585402,0.032729134085821635,-0.044545995871183575,0.04833691441120985,0.012850501230103787,-0.016813543937408748,-0.057805928572188456
20,479,0.007319823106264968,-0.01431763079072648,0.008796844648563397,0.054750340254071286,0.06773917267075005,0.009359346905899991,0.04220485284895582,0.08325788816151664,0.020129588447254286,-0.0346036362126093,0.06308875354201154,-0.02939105721451846,-0.05782348831828921,0.0016048625405553855,0.024603863306105644,0.026774837308665228,-0.04863836457994142,0.05078114262292723,0.01165816304212778,-0.016273289528438817,-0.0588357169850454
