x_utm,y_utm,snow_free_doy,doy_band,domain,tile
346961.5,4282503.5,110.2847900390625,early,ALMO,ALMO_2025_mosaic_rfl_346000_4282000.nc
331874.5,4300533.5,112.55880737304688,early,CRBU,CRBU_2025_mosaic_rfl_331000_4300000.nc
346436.5,4283608.5,107.87477111816406,early,ALMO,ALMO_2025_mosaic_rfl_346000_4283000.nc
359211.5,4311680.5,127.76945495605469,early,UPTA,UPTA_2025_mosaic_rfl_359000_4311000.nc
346487.5,4282083.5,98.09812927246094,early,ALMO,ALMO_2025_mosaic_rfl_346000_4282000.nc
332337.5,4301698.5,118.61808776855469,early,CRBU,CRBU_2025_mosaic_rfl_332000_4301000.nc
348283.5,4281134.5,98.62958526611328,early,ALMO,ALMO_2025_mosaic_rfl_348000_4281000.nc
339406.5,4283743.5,89.95823669433594,early,ALMO,ALMO_2025_mosaic_rfl_339000_4283000.nc
344739.5,4285398.5,104.63866424560547,early,ALMO,ALMO_2025_mosaic_rfl_344000_4285000.nc
341184.5,4286605.5,109.75617218017578,early,ALMO,ALMO_2025_mosaic_rfl_341000_4286000.nc
343775.5,4285023.5,112.56341552734375,early,ALMO,ALMO_2025_mosaic_rfl_343000_4285000.nc
337958.5,4292248.5,103.04146575927734,early,ALMO,ALMO_2025_mosaic_rfl_337000_4292000.nc
337385.5,4283473.5,97.09223175048828,early,ALMO,ALMO_2025_mosaic_rfl_337000_4283000.nc
355007.5,4314920.5,129.58840942382812,early,UPTA,UPTA_2025_mosaic_rfl_355000_4314000.nc
356394.5,4314332.5,127.87782287597656,early,UPTA,UPTA_2025_mosaic_rfl_356000_4314000.nc
352226.5,4280719.5,118.03499603271484,early,ALMO,ALMO_2025_mosaic_rfl_352000_4280000.nc
329760.5,4301683.5,125.26846313476562,early,CRBU,CRBU_2025_mosaic_rfl_329000_4301000.nc
337340.5,4288836.5,92.35760498046875,early,ALMO,ALMO_2025_mosaic_rfl_337000_4288000.nc
347130.5,4282890.5,108.19589233398438,early,ALMO,ALMO_2025_mosaic_rfl_347000_4282000.nc
342163.5,4279470.5,104.897216796875,early,ALMO,ALMO_2025_mosaic_rfl_342000_4279000.nc
343901.5,4282143.5,107.2911148071289,early,ALMO,ALMO_2025_mosaic_rfl_343000_4282000.nc
345220.5,4276131.5,124.6126480102539,early,ALMO,ALMO_2025_mosaic_rfl_345000_4276000.nc
344037.5,4277260.5,95.60721588134766,early,ALMO,ALMO_2025_mosaic_rfl_344000_4277000.nc
337994.5,4287728.5,108.6448745727539,early,ALMO,ALMO_2025_mosaic_rfl_337000_4287000.nc
349622.5,4280455.5,80.93627166748047,early,ALMO,ALMO_2025_mosaic_rfl_349000_4280000.nc
331859.5,4310251.5,122.38919830322266,early,CRBU,CRBU_2025_mosaic_rfl_331000_4310000.nc
359379.5,4311737.5,128.25645446777344,early,UPTA,UPTA_2025_mosaic_rfl_359000_4311000.nc
341565.5,4282170.5,108.85908508300781,early,ALMO,ALMO_2025_mosaic_rfl_341000_4282000.nc
342931.5,4283620.5,100.84381866455078,early,ALMO,ALMO_2025_mosaic_rfl_342000_4283000.nc
354154.5,4289125.5,83.91612243652344,early,ALMO,ALMO_2025_mosaic_rfl_354000_4289000.nc
328217.5,4305335.5,127.50590515136719,early,CRBU,CRBU_2025_mosaic_rfl_328000_4305000.nc
328463.5,4303356.5,122.89888763427734,early,CRBU,CRBU_2025_mosaic_rfl_328000_4303000.nc
328928.5,4305407.5,115.7236557006836,early,CRBU,CRBU_2025_mosaic_rfl_328000_4305000.nc
329631.5,4311521.5,127.31520080566406,early,CRBU,CRBU_2025_mosaic_rfl_329000_4311000.nc
343259.5,4288065.5,73.493011474609375,early,ALMO,ALMO_2025_mosaic_rfl_343000_4288000.nc
341754.5,4299968.5,116.01322937011719,early,ALMO,ALMO_2025_mosaic_rfl_341000_4299000.nc
342883.5,4283566.5,100.10330200195312,early,ALMO,ALMO_2025_mosaic_rfl_342000_4283000.nc
343271.5,4280881.5,109.44290924072266,early,ALMO,ALMO_2025_mosaic_rfl_343000_4280000.nc
342316.5,4279308.5,110.28844451904297,early,ALMO,ALMO_2025_mosaic_rfl_342000_4279000.nc
351961.5,4293326.5,98.018096923828125,early,ALMO,ALMO_2025_mosaic_rfl_351000_4293000.nc
359439.5,4313257.5,124.18565368652344,early,UPTA,UPTA_2025_mosaic_rfl_359000_4313000.nc
358949.5,4313503.5,126.001953125,early,UPTA,UPTA_2025_mosaic_rfl_358000_4313000.nc
340235.5,4284806.5,95.60303497314453,early,ALMO,ALMO_2025_mosaic_rfl_340000_4284000.nc
341235.5,4285221.5,87.173492431640625,early,ALMO,ALMO_2025_mosaic_rfl_341000_4285000.nc
341658.5,4279929.5,82.749114990234375,early,ALMO,ALMO_2025_mosaic_rfl_341000_4279000.nc
339187.5,4284521.5,97.32709503173828,early,ALMO,ALMO_2025_mosaic_rfl_339000_4284000.nc
340724.5,4287425.5,105.9552001953125,early,ALMO,ALMO_2025_mosaic_rfl_340000_4287000.nc
331331.5,4301692.5,118.32804870605469,early,CRBU,CRBU_2025_mosaic_rfl_331000_4301000.nc
329556.5,4306398.5,116.04219055175781,early,CRBU,CRBU_2025_mosaic_rfl_329000_4306000.nc
326421.5,4308263.5,125.552490234375,early,CRBU,CRBU_2025_mosaic_rfl_326000_4308000.nc
342865.5,4283938.5,95.815826416015625,early,ALMO,ALMO_2025_mosaic_rfl_342000_4283000.nc
330319.5,4301296.5,125.46571350097656,early,CRBU,CRBU_2025_mosaic_rfl_330000_4301000.nc
335550.5,4304002.5,124.43470764160156,early,CRBU,CRBU_2025_mosaic_rfl_335000_4304000.nc
333817.5,4307761.5,126.31265258789062,early,CRBU,CRBU_2025_mosaic_rfl_333000_4307000.nc
341895.5,4285443.5,91.557281494140625,early,ALMO,ALMO_2025_mosaic_rfl_341000_4285000.nc
343052.5,4284431.5,102.23117065429688,early,ALMO,ALMO_2025_mosaic_rfl_343000_4284000.nc
345634.5,4288110.5,98.13892364501953,early,ALMO,ALMO_2025_mosaic_rfl_345000_4288000.nc
330649.5,4310428.5,119.1642837524414,early,CRBU,CRBU_2025_mosaic_rfl_330000_4310000.nc
333331.5,4302230.5,115.4022216796875,early,CRBU,CRBU_2025_mosaic_rfl_333000_4302000.nc
340418.5,4288146.5,102.69793701171875,early,ALMO,ALMO_2025_mosaic_rfl_340000_4288000.nc
342370.5,4289971.5,100.13772583007812,early,ALMO,ALMO_2025_mosaic_rfl_342000_4289000.nc
339976.5,4292509.5,101.98478698730469,early,ALMO,ALMO_2025_mosaic_rfl_339000_4292000.nc
327991.5,4307134.5,128.5672149658203,early,CRBU,CRBU_2025_mosaic_rfl_327000_4307000.nc
339706.5,4284620.5,93.31858825683594,early,ALMO,ALMO_2025_mosaic_rfl_339000_4284000.nc
329913.5,4301821.5,124.72692108154297,early,CRBU,CRBU_2025_mosaic_rfl_329000_4301000.nc
347925.5,4280848.5,91.321197509765625,early,ALMO,ALMO_2025_mosaic_rfl_347000_4280000.nc
340589.5,4289863.5,97.3530044555664,early,ALMO,ALMO_2025_mosaic_rfl_340000_4289000.nc
333454.5,4302320.5,116.99507904052734,early,CRBU,CRBU_2025_mosaic_rfl_333000_4302000.nc
348952.5,4281527.5,97.90264892578125,early,ALMO,ALMO_2025_mosaic_rfl_348000_4281000.nc
342892.5,4281596.5,108.44075012207031,early,ALMO,ALMO_2025_mosaic_rfl_342000_4281000.nc
337892.5,4283239.5,94.93375396728516,early,ALMO,ALMO_2025_mosaic_rfl_337000_4283000.nc
362133.5,4303999.5,124.7912368774414,early,UPTA,UPTA_2025_mosaic_rfl_362000_4304000.nc
359253.5,4312947.5,127.361572265625,early,UPTA,UPTA_2025_mosaic_rfl_359000_4312000.nc
330391.5,4305857.5,115.67047119140625,early,CRBU,CRBU_2025_mosaic_rfl_330000_4305000.nc
331000.5,4310227.5,116.66351318359375,early,CRBU,CRBU_2025_mosaic_rfl_330000_4310000.nc
338952.5,4281344.5,111.19945526123047,early,ALMO,ALMO_2025_mosaic_rfl_338000_4281000.nc
