melt_band,n_cells,mean_frac_2018,mean_delta,frac_cells_losing,frac_cells_gaining
early (<120),157,2.3044220415494252e-4,1.2187150748455326e-5,0,0
mid (120-145),965,0.015423800611755235,-8.751027549584058e-4,0.058031088082901555,0.03730569948186528
late (>145),1678,0.009003929337555274,1.9567281085491672e-5,0.028605482717520857,0.029797377830750895
