tau,bare_flip_rate,veg_flip_rate,raw_bare_flip,raw_veg_flip
0,0.43881453154875716,0.49122807017543857,0.43881453154875716,0.49122807017543857
0.01,0.3938814531548757,0.44100447196422426,0.43881453154875716,0.49122807017543857
0.02,0.34130019120458893,0.4041967664258686,0.43881453154875716,0.49122807017543857
0.03,0.30210325047801145,0.36394908840729273,0.43881453154875716,0.49122807017543857
0.04,0.25621414913957935,0.3226694186446508,0.43881453154875716,0.49122807017543857
0.05,0.22466539196940727,0.2862057103543172,0.43881453154875716,0.49122807017543857
0.06,0.18738049713193117,0.2528379772961816,0.43881453154875716,0.49122807017543857
0.07,0.16252390057361377,0.21775025799793601,0.43881453154875716,0.49122807017543857
0.08,0.13479923518164436,0.18851049191606467,0.43881453154875716,0.49122807017543857
0.09,0.1118546845124283,0.16580667354661163,0.43881453154875716,0.49122807017543857
0.1,0.09751434034416825,0.14103887168902648,0.43881453154875716,0.49122807017543857
0.11,0.08126195028680688,0.1217750257997936,0.43881453154875716,0.49122807017543857
0.12,0.06692160611854685,0.10251117991056072,0.43881453154875716,0.49122807017543857
0.13,0.05640535372848948,0.09047127622979016,0.43881453154875716,0.49122807017543857
0.14,0.04875717017208413,0.07808737530099759,0.43881453154875716,0.49122807017543857
0.15,0.04110898661567878,0.06707946336429309,0.43881453154875716,0.49122807017543857
0.16,0.0372848948374761,0.058823529411764705,0.43881453154875716,0.49122807017543857
0.17,0.029636711281070746,0.05125558995528036,0.43881453154875716,0.49122807017543857
0.18,0.02676864244741874,0.04368765049879601,0.43881453154875716,0.49122807017543857
0.19,0.022944550669216062,0.03715170278637771,0.43881453154875716,0.49122807017543857
0.2,0.021032504780114723,0.03027175782593739,0.43881453154875716,0.49122807017543857
0.21,0.017208413001912046,0.02717578259373925,0.43881453154875716,0.49122807017543857
0.22,0.017208413001912046,0.02476780185758514,0.43881453154875716,0.49122807017543857
0.23,0.01338432122370937,0.022703818369453045,0.43881453154875716,0.49122807017543857
0.24,0.010516252390057362,0.019951840385276916,0.43881453154875716,0.49122807017543857
0.25,0.009560229445506692,0.016511867905056758,0.43881453154875716,0.49122807017543857
0.26,0.0076481835564053535,0.014447884416924664,0.43881453154875716,0.49122807017543857
0.27,0.0057361376673040155,0.012727898176814585,0.43881453154875716,0.49122807017543857
0.28,0.0057361376673040155,0.010319917440660475,0.43881453154875716,0.49122807017543857
0.29,0.004780114722753346,0.009287925696594427,0.43881453154875716,0.49122807017543857
0.3,0.0028680688336520078,0.007911936704506364,0.43881453154875716,0.49122807017543857
0.31,0.0028680688336520078,0.006535947712418301,0.43881453154875716,0.49122807017543857
0.32,0.0019120458891013384,0.005847953216374269,0.43881453154875716,0.49122807017543857
0.33,0.0019120458891013384,0.004471964224286206,0.43881453154875716,0.49122807017543857
0.34,0.0019120458891013384,0.0034399724802201583,0.43881453154875716,0.49122807017543857
0.35000000000000003,0.0019120458891013384,0.002407980736154111,0.43881453154875716,0.49122807017543857
0.36,0.0019120458891013384,0.0020639834881320948,0.43881453154875716,0.49122807017543857
0.37,0.0019120458891013384,0.0020639834881320948,0.43881453154875716,0.49122807017543857
0.38,9.560229445506692e-4,0.0017199862401100791,0.43881453154875716,0.49122807017543857
0.39,9.560229445506692e-4,0.0013759889920880633,0.43881453154875716,0.49122807017543857
0.4,9.560229445506692e-4,0.0010319917440660474,0.43881453154875716,0.49122807017543857
