final_label,class_type,n_total,n_2018,n_2025,n_2026,n_2023,n_sampling_areas,n,unweighted_recall,balanced_recall,top_confusions,augmentation_priority,predicted_n_pixels,pixels_per_site
M01,meadow,34,6,16,0,12,NA,34,0.8529411764705882,0.8235294117647058,S06.b (5); S20 (1),ok,373,10.970588235294118
S05.a,meadow,24,1,9,6,8,NA,24,0.7916666666666666,0.7916666666666666,M03 (4); S01.b (1),ok,207,8.625
S06.b,meadow,82,25,41,1,15,NA,82,0.7682926829268293,0.7682926829268293,M02 (5); S01.a (4),ok,559,6.817073170731708
S01.a,meadow,53,3,13,4,33,NA,53,0.71698113207547165,0.6981132075471698,S06.b (3); M04 (2),ok,356,6.716981132075472
Juniperus sp.,shrub,22,3,19,0,0,13,22,0.8181818181818182,0.8181818181818182,Salix other (2); Dasiphora fruticosa (1),ok,87,3.9545454545454546
S11,meadow,30,1,8,0,21,NA,30,0.8,0.8,S01.a (5); Caltha leptosepala (1),ok,108,3.6
S02.a,meadow,47,7,28,3,9,NA,47,0.9148936170212766,0.8936170212765957,S01.a (3); S01.b (1),ok,149,3.1702127659574466
S08.a,meadow,30,18,7,0,5,NA,30,0.6333333333333333,0.6666666666666666,M02 (8); S02.a (1),ok,64,2.1333333333333333
S19,meadow,25,0,21,4,0,NA,25,0.84,0.8,Dasiphora fruticosa (1); M03 (1),ok,42,1.68
S07,meadow,24,19,0,0,5,NA,24,0.5833333333333334,0.6666666666666666,Caltha leptosepala (2); Veratrum tenuipetalum (2),ok,39,1.625
S03,meadow,22,9,10,0,3,NA,22,0.7272727272727273,0.6363636363636364,Veratrum tenuipetalum (7); M02 (1),ok,34,1.5454545454545454
Salix wolfii,shrub,46,20,26,0,0,13,46,0.6739130434782609,0.6956521739130435,Salix other (6); Dasiphora fruticosa (4),ok,43,0.9347826086956522
S04.b,meadow,43,10,26,0,7,NA,43,0.6744186046511628,0.6744186046511628,S18 (4); M03 (3),ok,20,0.46511627906976744
Dasiphora fruticosa,shrub,34,13,21,0,0,18,34,0.7647058823529411,0.6470588235294118,Artemisia tridentata (2); S23 (2),ok,14,0.4117647058823529
Salix other,shrub,53,22,31,0,0,22,53,0.71698113207547165,0.71698113207547165,Salix wolfii (6); Salix boothii (4),ok,11,0.20754716981132076
