point_type,band_number,wavelength_nm,mean_18,mean_25,mean_diff,sd_diff,n_pairs,pooled_sd,t_stat,cohens_d,ci95_lo,ci95_hi
vegetated,1,384,-0.0024950264057972964,-0.0031205422561002604,-6.255158503029629e-4,0.004039856314426192,1058,0.0033665949023924356,-5.036342234211129,-0.18580074776993413,-8.689486850030545e-4,-3.8208301560287134e-4
vegetated,2,389,-0.0024950264057972964,-0.0031205422561002604,-6.255158503029629e-4,0.004039856314426192,1058,0.0033665949023924356,-5.036342234211129,-0.18580074776993413,-8.689486850030545e-4,-3.8208301560287134e-4
vegetated,3,394,-0.0024950264057972964,-0.0031205422561002604,-6.255158503029629e-4,0.004039856314426192,1058,0.0033665949023924356,-5.036342234211129,-0.18580074776993413,-8.689486850030545e-4,-3.8208301560287134e-4
vegetated,4,399,-0.0024950264057972964,-0.0031205422561002604,-6.255158503029629e-4,0.004039856314426192,1058,0.0033665949023924356,-5.036342234211129,-0.18580074776993413,-8.689486850030545e-4,-3.8208301560287134e-4
vegetated,5,404,0.008136204246897403,0.005327669283698178,-0.0028085349631992145,0.003919743364445774,1058,0.005263756320547589,-23.30585472554012,-0.5335609766424451,-0.003044730056350551,-0.0025723398700478782
vegetated,6,409,0.008353054931358078,0.005174002406354676,-0.0031790525250033914,0.003963677784500599,1058,0.005261362359604397,-26.088084637087043,-0.6042261125011023,-0.0034178950094435365,-0.0029402100405632463
vegetated,7,414,0.008681924582277597,0.005179532177185594,-0.003502392405091996,0.004022687714423571,1058,0.0052863809442626475,-28.31987402658666,-0.662531217863361,-0.00374479069780812,-0.003259994112375872
vegetated,8,419,0.00900010933521037,0.00529420574367626,-0.0037059035915341164,0.004049118436309537,1058,0.005312624168711151,-29.769837967432437,-0.6975655483706412,-0.0039498945412783865,-0.0034619126417898462
vegetated,9,424,0.009322922425923575,0.005507124824448409,-0.0038157976014751528,0.004067432802870638,1058,0.005345601396897764,-30.514606770091447,-0.7138200771366139,-0.004060892134570094,-0.0035707030683802114
vegetated,10,429,0.009700890277547497,0.005775844908775668,-0.00392504536877184,0.004106811097195457,1058,0.005406390788536288,-31.087284520211558,-0.7260010462237593,-0.004172512751064143,-0.003677577986479536
vegetated,11,434,0.010087220405818493,0.006118236428964039,-0.003968983976854463,0.004102675860789405,1058,0.005487822780800103,-31.466973425502044,-0.7232347208332776,-0.004216202178918034,-0.0037217657747908935
vegetated,12,439,0.010363188718845343,0.006471746524842805,-0.0038914421940025408,0.0041014611973107275,1058,0.005560904965126768,-30.86134220307353,-0.6997857755898245,-0.004138587203122895,-0.0036442971848821867
vegetated,13,444,0.010642761479820101,0.006818442097322349,-0.0038243193824977514,0.004095454045191396,1058,0.005623494442952709,-30.373506427271582,-0.6800610227845676,-0.004071102413875565,-0.0035775363511199375
vegetated,14,449,0.010917728555976032,0.007117060837738262,-0.003800667718237766,0.00411947905306019,1058,0.005702008915505942,-30.009615917791912,-0.6665488908483285,-0.004048898443621009,-0.0035524369928545225
vegetated,15,454,0.011115792517729541,0.0073722403274712285,-0.003743552190258325,0.004116519894853059,1058,0.0057512014036457575,-29.579886779434002,-0.6509165524763645,-0.003991604603292163,-0.0034954997772244875
vegetated,16,459,0.011307618836959693,0.007583546912223648,-0.003724071924736038,0.004123493474356974,1058,0.005815381723893163,-29.37619770401723,-0.6403830567880456,-0.003972544550295896,-0.0034755992991761797
vegetated,17,464,0.011433509393576423,0.007733146342820949,-0.003700363050755481,0.00412286756838387,1058,0.0058527699491493675,-29.193608836939276,-0.6322413289613896,-0.003948797960601356,-0.003451928140909606
vegetated,18,469,0.01157678721358062,0.007850187680532346,-0.0037265995330482632,0.004115831031427694,1058,0.005884796151797732,-29.450862754408412,-0.633258899190558,-0.003974610436690848,-0.0034785886294056777
vegetated,19,474,0.011750690385368363,0.007968694558918087,-0.003781995826450278,0.004119604925930199,1058,0.005935891730274088,-29.861272475327198,-0.6371402980889015,-0.004030234136655152,-0.0035337575162454034
vegetated,20,479,0.011895221992698829,0.008065021267400777,-0.0038302007252980796,0.004141997847715936,1058,0.005978306809099387,-30.078383974110604,-0.6406831980366506,-0.004079788383599334,-0.0035806130669968255
vegetated,21,484,0.012005837600163018,0.008167681176657362,-0.003838156423505627,0.004149921568139479,1058,0.0060173378307277,-30.08330975143833,-0.6378495825688856,-0.00408822154772991,-0.0035880912992813435
vegetated,22,489,0.012271468797987257,0.008294955039417877,-0.0039765137585693775,0.004169816198427895,1058,0.006088743346289558,-31.01904416803834,-0.6530926879998382,-0.00422777768935248,-0.003725249827786275
vegetated,23,494,0.012517665904184431,0.008498989288253505,-0.004018676615930904,0.0041769993645698845,1058,0.006151078420750211,-31.294029271035168,-0.653328789041966,-0.004270373388468755,-0.0037669798433930535
vegetated,24,499,0.012749587797817345,0.008745154424472948,-0.004004433373344411,0.004175133886876368,1058,0.0061861222140567156,-31.197047858055548,-0.6473252927730951,-0.004256017736309331,-0.00375284901037949
vegetated,25,504,0.013167517199683097,0.009139083583716541,-0.004028433615966547,0.004174730764597973,1058,0.006226980502929023,-31.387055321510964,-0.6469321068327849,-0.00427999368767175,-0.0037768735442613457
vegetated,26,509,0.01367812649474546,0.009631741135829226,-0.004046385358916256,0.004164940314645977,1058,0.006230520914639306,-31.6010339355932,-0.6494457549141389,-0.004297355479692685,-0.0037954152381398263
vegetated,27,514,0.014329052407585627,0.010328770155373338,-0.0040002822522123005,0.004138404642449693,1058,0.006201194105003699,-31.441301606059486,-0.6450825735295888,-0.004249653391886272,-0.0037509111125383294
vegetated,28,519,0.01523363387456075,0.01125649730993014,-0.00397713656463059,0.0041093423927508555,1058,0.006139901334022938,-31.480455612009433,-0.6477525204830484,-0.0042247564772122295,-0.0037295166520489504
vegetated,29,524,0.016208487820695786,0.012308271970789023,-0.003900215849906769,0.004091040543561312,1058,0.006054439044078903,-31.009709174219022,-0.6441911168832539,-0.004146732933406949,-0.0036536987664065883
