melt_band,n_cells,mean_frac_2018,mean_delta,frac_cells_losing,frac_cells_gaining
early (<120),157,4.009794440433356e-4,-2.1170230234265005e-5,0,0
mid (120-145),965,0.016547630523828044,-2.846482231013802e-4,0.043523316062176166,0.04041450777202073
late (>145),1678,0.004838273760089777,6.143357428084121e-4,0.007151370679380214,0.020858164481525627
