melt_band,n_cells,mean_willow_2018,mean_delta,frac_cells_losing,frac_cells_gaining
early (<120),157,0.030032891857358624,9.205834971313823e-5,0.03821656050955414,0.012738853503184714
mid (120-145),965,0.08270446185720703,-0.002785790909114158,0.16373056994818652,0.06735751295336788
late (>145),1678,0.14105018149794493,-0.006866498642148173,0.366507747318236,0.14839094159713945
