final_label,n,doy_mean,doy_sd,doy_min,doy_max,doy_iqr,dip_p,range,moisture,elevation
Caltha leptosepala,6,157.51129404703775,21.41044242295503,137.4877166748047,177.35841369628906,38.831905364990234,NA,39.870697021484375,wet,subalpine
S10.a,30,133.76779301961264,16.8844526882512,105.45997619628906,173.75096130371094,14.802244186401367,0.08329076016558667,68.290985107421875,mesic,montane
S04.b,43,115.22257747206577,16.447586805858272,88.19129943847656,142.4364471435547,30.35202407836914,4.8567386806108725e-4,54.245147705078125,dry,montane
S15,16,146.9382405281067,15.680217581620262,127.72399139404297,171.4057159423828,23.244220733642578,0.07358021864764885,43.681724548339844,wet,subalpine
S01.a,53,122.99547317792785,15.263598816222316,82.79881286621094,159.2519989013672,20.937965393066406,0.16424568205103196,76.45318603515625,dry,montane
Corydalis caseana,5,156.65664978027343,14.965038289744324,142.4615936279297,173.30059814453125,26.683807373046875,NA,30.839004516601562,wet,subalpine
S12,25,161.35852783203126,14.67590429567937,130.49761962890625,181.12074279785156,15.055313110351562,0.42106382740379855,50.62312316894531,dry,subalpine
S02.a,47,128.4723697418862,13.385545638387692,102.42431640625,144.520263671875,21.77035903930664,0.08146684483448197,42.095947265625,mesic,montane
S08.a,30,161.00261332194012,13.03369802113564,143.15211486816406,179.19503784179688,24.53673553466797,0.002848611983254923,36.04292297363281,mesic,subalpine
S10.b,9,119.08602311876085,12.48263967807548,108.4546127319336,139.119140625,20.122764587402344,0.372776747581687,30.664527893066406,mesic,montane
S03,22,150.97071769020775,12.19588139367759,136.04603576660156,169.1578826904297,20.701866149902344,0.01340691440572328,33.111846923828125,wet,subalpine
S11,30,126.35915756225586,12.159043674469167,103.39002990722656,140.14259338378906,22.277423858642578,0.09776638657381942,36.7525634765625,mesic,montane
S13.b,8,159.33859634399414,12.018535977389634,130.94766235351562,166.67202758789062,7.591148376464844,0.8188814872506573,35.724365234375,mesic,subalpine
S19,25,122.09057525634766,11.867074875776693,104.30240631103516,145.5570831298828,20.598426818847656,0.0013867384237290503,41.254676818847656,dry,montane
S14,14,169.51754324776786,11.63467401539124,145.5570831298828,179.37533569335938,4.769905090332031,0.5032143131048641,33.81825256347656,wet,alpine
M04,16,118.74708127975464,11.620755525151939,96.501251220703125,140.52145385742188,16.189420700073242,0.6462681835741174,44.02020263671875,dry,montane
S02.b,9,125.0694580078125,11.136372667848876,104.18160247802734,141.5609130859375,8.462516784667969,0.41374503725177136,37.379310607910156,mesic,montane
S18,30,101.7091542561849,10.823898618579804,84.4015884399414,125.37413024902344,19.10858154296875,0.11245686228718188,40.97254180908203,dry,montane
S25,21,97.45130193801154,10.733340249780841,83.68718719482422,116.68643188476562,13.651580810546875,0.18309013657573792,32.999244689941406,dry,montane
S01.b,12,120.99501927693684,10.292385072552607,102.38349151611328,135.08380126953125,15.0162353515625,0.2519793096018089,32.70030975341797,dry,montane
M03,34,119.41715195599724,10.193540196219049,88.19129943847656,142.25767517089844,11.736099243164062,0.0894850790536792,54.066375732421875,dry,montane
M02,48,149.78563340504965,10.081038881166792,132.40261840820312,177.4094696044922,14.46511459350586,0.5849729022337959,45.00685119628906,mesic,subalpine
Veratrum tenuipetalum,19,144.13206401624177,10.015611614075029,129.60801696777344,172.04718017578125,5.56201171875,0.8187248257639341,42.43916320800781,wet,subalpine
