x_utm,y_utm,domain,snow_free_doy,canopy_height_m,predicted_label,nearest_class,nearest_d,second_class,second_d,margin,ood_flag
352232.5,4290353.5,ALMO,114.00759887695312,0,S24.a,S24.a,18.121943132852287,S24.b,18.151477361399092,0.029534228546804542,TRUE
338565.5,4285509.5,ALMO,98.14420318603516,0,S01,S01,15.323278620084075,S02,15.437140585417486,0.11386196533341142,TRUE
344553.5,4280329.5,ALMO,114.68988800048828,0,S25,S25,15.192017690377597,S24.b,15.326876723211905,0.13485903283430822,TRUE
346388.5,4283818.5,ALMO,94.17155456542967,0,S22,S22,17.70787411098815,S24.b,17.805873498204004,0.09799938721585377,TRUE
345367.5,4285647.5,ALMO,103.57159423828124,0,S18,S24.b,17.674723940593395,S24.a,18.043982542070538,0.3692586014771422,TRUE
350724.5,4283149.5,ALMO,120.7688980102539,0,S24.a,S24.b,19.745462477122828,S24.a,19.91282624044099,0.1673637633181606,TRUE
339307.5,4286068.5,ALMO,89.68653869628906,0,S24.b,S24.b,18.459358870011794,S24.a,18.9641991567303,0.5048402867185047,TRUE
341826.5,4285635.5,ALMO,95.91986083984376,0,S18,S24.b,16.152457701072464,S24.a,16.23020364230792,0.07774594123545597,TRUE
342505.5,4287761.5,ALMO,102.39379119873048,0,S24.b,S24.b,16.704989154925943,S24.a,17.194829947588147,0.4898407926622035,TRUE
342631.5,4286575.5,ALMO,117.02545166015624,0,S05.a,S05.b,13.086880771036167,S19,13.478105196693864,0.3912244256576969,TRUE
338949.5,4282488.5,ALMO,90.60356903076172,0,S24.a,S24.b,19.50096120221135,S24.a,19.627252581090538,0.12629137887918773,TRUE
341712.5,4280254.5,ALMO,99.21593475341795,0,S24.a,S24.b,17.752734624980178,S24.a,17.806655319471556,0.05392069449137793,TRUE
339868.5,4283815.5,ALMO,100.7701187133789,0,S24.a,S24.b,17.432869927056423,S24.a,17.600215493367998,0.1673455663115746,TRUE
343229.5,4283419.5,ALMO,85.86254119873047,0,S25,S24.b,16.73067133284792,S24.a,16.884968216323227,0.15429688347530757,TRUE
