band_number,wavelength_nm,delta,sd_diff,n_pairs
378,2270,0.004169911761641393,0.009935874472406589,1057
379,2280,0.004365758079903571,0.009948235989398256,1057
380,2280,0.004898944727993873,0.009887210845657102,1057
381,2290,0.0042170740587626635,0.00991556292634712,1057
382,2290,0.0044105933098664216,0.009923284826845276,1057
383,2300,0.004023044512864162,0.009945587322996519,1057
384,2300,0.003675442668588746,0.00997212386302227,1057
385,2310,0.0034423105312706213,0.009931217901418125,1057
386,2310,0.0038753282473047274,0.009876060101278753,1057
387,2320,0.004709009076313935,0.009628909733088706,1057
388,2320,0.004071538638267544,0.009607784065965116,1057
389,2330,0.004372919112096529,0.009612457985359688,1057
390,2330,0.004566444779376626,0.009580725039299779,1057
391,2340,0.00481049196988236,0.009561352528196329,1057
392,2340,0.004043224801731948,0.009506523862125504,1057
393,2350,0.004671420295967351,0.00950866948177164,1057
394,2350,0.0036550764786664747,0.009494813926448655,1057
395,2360,0.003800289712798783,0.009551786481016003,1057
396,2360,0.004123407735395894,0.009500917167241283,1057
397,2370,0.004037540531538213,0.00964797172557004,1057
398,2370,0.003950065625344063,0.009449045532808922,1057
399,2380,0.004244409082036314,0.009387100031007274,1057
400,2380,0.004316182330558442,0.009444329732760258,1057
401,2390,0.003820625622479175,0.009392892479702706,1057
402,2390,0.0033975178124718694,0.009491836877739985,1057
403,2400,0.003504371802629869,0.009453726874887488,1057
404,2400,0.004370626879371536,0.009436910511780253,1057
405,2410,0.0043807669265815904,0.009392466992635988,1057
406,2410,0.004540014323862948,0.009435590666576102,1057
407,2420,0.0035854244717553056,0.009401575667126237,1057
408,2420,0.0036209687690265686,0.009191153636251786,1057
409,2430,0.00395367871234014,0.00912953387188852,1057
410,2430,0.005019474440372411,0.00917795700756106,1057
411,2440,0.0028924179269481957,0.009194042090146999,1057
412,2440,0.002545754171639437,0.00927385043649237,1057
413,2450,0.002656148718963849,0.00917434936349241,1057
414,2450,-5.122405817426244e-4,0.008422309960305838,1057
415,2460,-5.122405817426244e-4,0.008422309960305838,1057
416,2460,-5.122405817426244e-4,0.008422309960305838,1057
417,2470,-5.122405817426244e-4,0.008422309960305838,1057
418,2470,-5.122405817426244e-4,0.008422309960305838,1057
419,2480,-5.122405817426244e-4,0.008422309960305838,1057
420,2480,-5.122405817426244e-4,0.008422309960305838,1057
421,2490,-5.122405817426244e-4,0.008422309960305838,1057
422,2490,-5.122405817426244e-4,0.008422309960305838,1057
423,2500,-5.122405817426244e-4,0.008422309960305838,1057
424,2500,-5.122405817426244e-4,0.008422309960305838,1057
425,2510,-5.122405817426244e-4,0.008422309960305838,1057
426,2510,-5.122405817426244e-4,0.008422309960305838,1057
